Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Thursday, Mar 28",boxscore,SEA,,BOS,L,4,6,,0-1,2,1,Bello,Castillo,Jansen,2:45,N,"45,337",0.95,-,
2,"Friday, Mar 29",boxscore,SEA,,BOS,W,1,0,,1-Jan,2,0.5,Kirby,Pivetta,Muñoz,2:24,N,"30,013",0.93,+,
3,"Saturday, Mar 30",boxscore,SEA,,BOS,W-wo,4,3,10,1-Feb,2,0.5,Saucedo,Rodríguez,,2:46,N,"32,149",0.96,++,
4,"Sunday, Mar 31",boxscore,SEA,,BOS,L,1,5,,2-Feb,2,0.5,Whitlock,Miller,Slaten,2:32,D,"29,331",0.99,-,
5,"Monday, Apr 1",boxscore,SEA,,CLE,W,5,4,,2-Mar,2,0.5,Hancock,McKenzie,Stanek,2:35,N,"21,322",0.94,+,
6,"Tuesday, Apr 2",boxscore,SEA,,CLE,L,2,5,,3-Mar,3,0.5,Bieber,Castillo,Clase,2:27,N,"20,646",0.97,-,
7,"Wednesday, Apr 3",boxscore,SEA,,CLE,L,0,8,,4-Mar,3,1.5,Allen,Kirby,,2:22,D,"22,583",0.97,--,
8,"Friday, Apr 5",boxscore,SEA,@,MIL,L-wo,5,6,,5-Mar,3,2.5,Uribe,Muñoz,,2:47,N,"23,035",0.86,---,
9,"Saturday, Apr 6",boxscore,SEA,@,MIL,W,5,3,,5-Apr,3,2.5,Miller,Hall,Muñoz,2:25,N,"35,522",0.79,+,
10,"Sunday, Apr 7",boxscore,SEA,@,MIL,L,4,12,,6-Apr,3,2.5,Rea,Hancock,Vieira,2:36,D,"25,573",0.87,-,
11,"Monday, Apr 8",boxscore,SEA,@,TOR,L,2,5,,7-Apr,3,2.5,Berríos,Castillo,,2:33,N,"40,069",0.85,--,
12,"Tuesday, Apr 9",boxscore,SEA,@,TOR,L,3,5,,8-Apr,4,2.5,Bassitt,Kirby,Green,2:53,N,"31,310",0.82,---,
13,"Wednesday, Apr 10",boxscore,SEA,@,TOR,W,6,1,10,8-May,3,2.5,Muñoz,Mayza,,2:40,D,"22,960",0.77,+,
14,"Friday, Apr 12",boxscore,SEA,,CHC,W,4,2,,8-Jun,3,2,Miller,Wicks,Stanek,2:35,N,"33,500",0.76,++,
15,"Saturday, Apr 13",boxscore,SEA,,CHC,L,1,4,,9-Jun,3,2,Imanaga,Hancock,Alzolay,2:24,N,"38,104",0.8,-,
16,"Sunday, Apr 14",boxscore,SEA,,CHC,L,2,3,,10-Jun,4,2,Assad,Castillo,Alzolay,2:35,D,"32,423",0.79,--,
17,"Monday, Apr 15",boxscore,SEA,,CIN,W,9,3,,10-Jul,3,2,Kirby,Montas,,2:30,N,"16,008",0.72,+,
18,"Tuesday, Apr 16",boxscore,SEA,,CIN,W,3,1,,10-Aug,3,1,Gilbert,Pagán,Saucedo,2:51,N,"17,291",0.77,++,
19,"Wednesday, Apr 17",boxscore,SEA,,CIN,W,5,1,,10-Sep,3,1,Miller,Abbott,,2:20,D,"17,225",0.8,+++,
