swimmer_id,race_year,age,lifeguard_cert,years_coached,years_ow_experience,race_id,race_name,location,distance_mi,swell_ft_typical,water_temp_f,current_strength,difficulty_rating,finished,finish_time_min
SW0001,2019,67,N,4,9.1,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,1,62.2
SW0001,2019,67,N,4,9.1,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,1,52.6
SW0001,2020,68,N,4,10.1,R2,La Jolla Rough Water (3mi),CA,3.0,3-5,66,Moderate,4,1,80.7
SW0001,2022,70,N,4,12.1,R2,La Jolla Rough Water (3mi),CA,3.0,3-5,66,Moderate,4,1,68.7
SW0001,2022,70,N,4,12.1,R4,Seal Beach Rough Water Swim,CA,1.0,2-3,64,Moderate,2,0,
SW0001,2023,71,N,5,13.1,R3,La Jolla Rough Water (1mi),CA,1.0,2-3,66,Moderate,2,1,21.3
SW0001,2024,72,N,4,14.1,R3,La Jolla Rough Water (1mi),CA,1.0,2-3,66,Moderate,2,1,22.2
SW0002,2022,53,N,2,5.9,R2,La Jolla Rough Water (3mi),CA,3.0,3-5,66,Moderate,4,1,89.1
SW0002,2022,53,N,1,5.9,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,1,94.8
SW0002,2023,54,N,1,6.9,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,1,69.7
SW0002,2024,55,N,1,7.9,R2,La Jolla Rough Water (3mi),CA,3.0,3-5,66,Moderate,4,0,
SW0003,2019,53,N,2,0.7,R2,La Jolla Rough Water (3mi),CA,3.0,3-5,66,Moderate,4,1,66.8
SW0003,2020,54,N,2,1.7,R4,Seal Beach Rough Water Swim,CA,1.0,2-3,64,Moderate,2,0,
SW0003,2020,54,N,2,1.7,R3,La Jolla Rough Water (1mi),CA,1.0,2-3,66,Moderate,2,0,
SW0003,2022,56,N,2,3.7,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,0,
SW0003,2024,58,N,2,5.7,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,0,
SW0004,2019,64,N,2,6.3,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,1,84.3
SW0004,2020,65,N,3,7.3,R2,La Jolla Rough Water (3mi),CA,3.0,3-5,66,Moderate,4,0,
SW0004,2021,66,N,2,8.3,R2,La Jolla Rough Water (3mi),CA,3.0,3-5,66,Moderate,4,0,
