County,FIPS code,County seat,Est.,Formed from,Etymology,General Law or Charter,Population (2022),Area,Map
Alameda County,001,Oakland,1853,Contra Costa and Santa Clara,"The oak and other trees, once abundant in the region; alameda is Spanish for ""avenue shaded by trees"" or ""cottonwood grove"".",Charter,"1,628,997","738 sq mi
(1,911 km2)",
Alpine County,003,Markleeville,1864,"Amador, El Dorado, Calaveras, Mono and Tuolumne",Location high in the Sierra Nevada; alpine refers to the Alps or other mountains.,General Law,"1,190","739 sq mi
(1,914 km2)",
Amador County,005,Jackson,1854,Calaveras,"Jose Maria Amador (1794–1883), a soldier, rancher, and miner who, along with several Native Americans, established a successful gold mining camp near present-day Amador City in 1848",General Law,"41,412","606 sq mi
(1,570 km2)",
Butte County,007,Oroville,1850,original,"Sutter Buttes, which were mistakenly thought to be in the county at the time of its establishment",Charter,"207,303","1,640 sq mi
(4,248 km2)",
Calaveras County,009,San Andreas,1850,original,"Calaveras River; calaveras is Spanish for ""skulls"".",General Law,"46,563","1,020 sq mi
(2,642 km2)",
Colusa County,011,Colusa,1850,original,Rancho Colus land grant from Mexico,General Law,"21,914","1,151 sq mi
(2,981 km2)",
Contra Costa County,013,Martinez,1850,original,"Location across San Francisco Bay from San Francisco; contra costa is Spanish for ""opposite coast"".",General Law,"1,156,966","720 sq mi
(1,865 km2)",
Del Norte County,015,Crescent City,1857,Klamath,"Location along California's northern border; del norte is Spanish for ""northern"".",General Law,"27,082","1,008 sq mi
(2,611 km2)",
El Dorado County,017,Placerville,1850,original,"El Dorado, a mythical city of gold, owing to the area's significance in the California Gold Rush",Charter,"192,646","1,712 sq mi
(4,434 km2)",
Fresno County,019,Fresno,1856,"Mariposa, Merced and Tulare","The city of Fresno; fresno is Spanish for ""ash tree"".",Charter,"1,015,190","5,963 sq mi
(15,444 km2)",
Glenn County,021,Willows,1891,Colusa,"Hugh J. Glenn, a California businessman and politician",General Law,"28,339","1,315 sq mi
(3,406 km2)",
Humboldt County,023,Eureka,1853,Trinity,"Alexander von Humboldt, a German naturalist and explorer",General Law,"135,010","3,573 sq mi
(9,254 km2)",
Imperial County,025,El Centro,1907,San Diego,"Imperial Valley, named after the Imperial Land Company",General Law,"178,713","4,175 sq mi
(10,813 km2)",
Inyo County,027,Independence,1866,Mono and Tulare,"Exact etymology disputed; early settlers believed Inyo to be the native name for area mountains, but it may be the name of a Mono Indian leader.",General Law,"18,718","10,192 sq mi
(26,397 km2)",
Kern County,029,Bakersfield,1866,Los Angeles and Tulare,"Edward Kern, cartographer for John C. Fremont's 1845 expedition",General Law,"916,108","8,142 sq mi
(21,088 km2)",
Kings County,031,Hanford,1893,Tulare,"Kings River; original Spanish name Rio de los Santos Reyes (""River of the Holy Kings"")",General Law,"152,981","1,390 sq mi
(3,600 km2)",
Lake County,033,Lakeport,1861,Napa,Clear Lake,General Law,"68,191","1,258 sq mi
(3,258 km2)",
Lassen County,035,Susanville,1864,"Plumas and Shasta, and now defunct Lake County, Nevada","Peter Lassen, a Danish naturalist and explorer",General Law,"29,904","4,558 sq mi
(11,805 km2)",
Los Angeles County,037,Los Angeles,1850,original,"The city of Los Angeles, derived from the original Spanish name El Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula (""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")",Charter,"9,721,138","4,060 sq mi
(10,515 km2)",
Madera County,039,Madera,1893,Fresno,"The city of Madera, which was named for the lumber industry it was created for; madera is Spanish for ""wood"" or ""timber"".",General Law,"160,256","2,138 sq mi
(5,537 km2)",
Marin County,041,San Rafael,1850,original,"Chief Marin, ""great chief of the tribe Licatiut"" (a branch of the Coast Miwok people)",General Law,"256,018","520 sq mi
(1,347 km2)",
Mariposa County,043,Mariposa,1850,original,"The city of Mariposa; mariposa is Spanish for ""butterfly"".",General Law,"17,020","1,451 sq mi
(3,758 km2)",
Mendocino County,045,Ukiah,1850,original,"Antonio de Mendoza, first viceroy of New Spain",General Law,"89,783","3,509 sq mi
(9,088 km2)",
Merced County,047,Merced,1855,Mariposa,"The city of Merced, derived from the original Spanish name El Río de Nuestra Señora de la Merced (""River of Our Lady of Mercy"")",General Law,"290,014","1,929 sq mi
(4,996 km2)",
Modoc County,049,Alturas,1874,Siskiyou,The Modoc people,General Law,"8,511","3,944 sq mi
(10,215 km2)",
Mono County,051,Bridgeport,1861,"Calaveras, Fresno and Mariposa","Mono Lake; derived from Monachi, a Yokuts name for native peoples of the Sierra Nevada",General Law,"12,978","3,044 sq mi
(7,884 km2)",
Monterey County,053,Salinas,1850,original,"Derived from Monterey Bay, which was named for a Viceroy of New Spain, Gaspar de Zúñiga, 5th Count of Monterrey",General Law,"432,858","3,322 sq mi
(8,604 km2)",
Napa County,055,Napa,1850,original,"Disputed origin; possibly derived from the Patwin word napo, meaning ""home""",General Law,"134,300","754 sq mi
(1,953 km2)",
Nevada County,057,Nevada City,1851,Yuba,"The phrase Sierra Nevada; nevada is Spanish for ""snow-covered"", referencing the area's high elevation. The neighboring state was named after the county, which was named after Nevada City.",General Law,"102,293","958 sq mi
(2,481 km2)",
Orange County,059,Santa Ana,1889,Los Angeles,"Oranges, to illustrate a perception of a region with a semi-tropical atmosphere to those from the eastern parts of the United States",Charter,"3,151,184","948 sq mi
(2,455 km2)",
Placer County,061,Auburn,1851,Sacramento,"Placer mining, a reference to the area being a center of the California Gold Rush",Charter,"417,772","1,407 sq mi
(3,644 km2)",
Plumas County,063,Quincy,1854,Butte,"The Feather River; plumas is Spanish for ""feathers"".",General Law,"19,351","2,554 sq mi
(6,615 km2)",
Riverside County,065,Riverside,1893,San Bernardino and San Diego,"The city of Riverside, named for its location on the Santa Ana River",General Law,"2,473,902","7,208 sq mi
(18,669 km2)",
Sacramento County,067,Sacramento,1850,original,"The city of Sacramento, named after the Santísimo Sacramento (Spanish for ""Most Holy Sacrament"")",Charter,"1,584,169","966 sq mi
(2,502 km2)",
San Benito County,069,Hollister,1874,Monterey,Saint Benedict (Benito is a Spanish diminutive of Benedict).,General Law,"67,579","1,389 sq mi
(3,597 km2)",
San Bernardino County,071,San Bernardino,1853,Los Angeles,"The city of San Bernardino, named after Saint Bernardino of Siena (Spanish for Saint Bernardine)",Charter,"2,193,656","20,062 sq mi
(51,960 km2)",
San Diego County,073,San Diego,1850,original,"The city of San Diego, from Mission San Diego (Spanish for Saint Didacus)",Charter,"3,276,208","4,204 sq mi
(10,888 km2)",
San Francisco,075,San Francisco,1850,original,"The city of San Francisco, from Presidio of San Francisco and Mission San Francisco de Asís, named after Saint Francis of Assisi (Spanish for Saint Francis)",Charter,"808,437","47 sq mi
(122 km2)",
