"name","fips_code","min_elevation","max_elevation","avg_elevation","acres_area"
"Alameda",1,-7,1291,219,472320
"Alpine",3,1155,3458,2216,472960
"Amador",5,29,2707,896,387840
"Butte",7,15,2184,608,1049600
"Calaveras",9,34,2830,780,652800
"Colusa",11,5,2023,260,736640
"Contra Costa",13,-8,1136,108,460800
"Del Norte",15,-3,2173,551,645120
"El Dorado",17,33,3294,1286,1095680
"Fresno",19,12,4106,764,3816320
"Glenn",21,12,2229,433,841600
"Humboldt",23,-3,2624,540,2286720
"Imperial",25,-73,1626,190,2672000
"Inyo",27,-83,4242,1473,6522880
"Kern",29,0,3589,841,5210880
"Kings",31,53,828,101,889600
"Lake",33,23,2120,550,805120
"Lassen",35,281,2991,1572,2917120
"Los Angeles",37,-1,2998,378,2598400
"Madera",39,35,3918,931,1368320
"Marin",41,-5,767,69,332800
"Mariposa",43,48,3525,1036,928640
"Mendocino",45,0,2241,486,2245760
"Merced",47,7,1125,152,1234560
"Modoc",49,988,2973,1537,2524160
"Mono",51,562,4301,2175,1948160
"Monterey",53,-4,1688,282,2126080
"Napa",55,-3,1436,232,482560
"Nevada",57,19,2986,1188,613120
"Orange",59,-2,1726,112,606720
"Placer",61,2,2995,1074,900480
"Plumas",63,136,3100,1560,1634560
"Riverside",65,-71,3300,538,4613120
"Sacramento",67,-8,610,62,618240
"San Benito",69,8,1563,454,888960
"San Bernardino",71,-83,3466,763,12839680
"San Diego",73,-71,2583,544,2690560
"San Francisco",75,-6,753,63,30080
"San Joaquin",77,-8,1158,96,895360
"San Luis Obispo",79,0,2046,341,2114560
"San Mateo",81,-4,1038,109,287360
"Santa Barbara",83,0,2652,243,1752320
"Santa Clara",85,-4,1278,323,826240
"Santa Cruz",87,-4,1291,191,285440
"Shasta",89,68,3784,1053,2423040
"Sierra",91,539,2762,1690,609920
"Siskiyou",93,98,4191,1187,4023680
"Solano",95,-8,840,76,529920
"Sonoma",97,-4,1426,210,1008640
"Stanislaus",99,-7,1270,169,956800
"Sutter",101,4,600,30,385920
"Tehama",103,23,3162,720,1888640
"Trinity",105,0,2663,868,2034560
"Tulare",107,55,4382,1193,3087360
"Tuolumne",109,31,3868,1571,1431040
"Ventura",111,-1,2671,331,1181440
"Yolo",113,-3,906,117,647680
"Yuba",115,6,1693,370,403200
